id,iso,nombre,entidad,estado,bid,jrc2,kw,senales,match_conocido,triage,resumen
251,AR,Gual-e - Chatbot,Municipalidad de Gualeguaychú,En funcionamiento,Educación,Personalización del servicio,Chatbot,texto,,fuera (atención ciudadana / servicio),"Asistente virtual de la Municipalidad de Gualeguaychú, diseñado para “mejorar la experiencia de comunicación con los ciudadanos, brindando soluciones e información sobre servicios y áreas” (Participación ciudadana, 2023). Gual-e está preparado para asesorar a los ciudadanos sobre temas como: Licencias de conducir, trámites, reclamos, espacios públicos, turismo, entre otros."
928,AR,"Sistema de reasignación de centros de votación con IA (Nombre genérico inferido, referido en texto como ""sistema basado en inteligencia artificial"")","Juzgado Federal con competencia electoral 
(en colaboración con el Gobierno de la Provincia de Buenos Aires)",En funcionamiento,Electoral,Gestión de la partipación,Reconocimiento de patrones,JRC-gestión-particip,,fuera (biometría/seguridad electoral/fraude),"Este sistema implementado por el juzgado federal con competencia electoral de la Provincia de Buenos Aires, tiene como objetivo acercar las sedes de votación a los domicilios de los votantes para ""facilitar el acto electoral"" y que los electores ""puedan votar más cerca"" de sus domicilios (Infobae, 2025; Chequeado, 2025). Para lograr este objetivo, el sistema analiza la ubicación geográfica de los domicilios de los electores y la capacidad de los establecimientos para generar un nuevo padrón electoral con asignaciones de escuelas modificadas (Infobae, 2025; Chequeado, 2025). El sistema generó cambios en los centros de votación para las elecciones legislativas del 7 de septiembre de 2025, afectando a ciudadanos en toda la provincia de Buenos Aires, con más de 14 millones de personas habilitadas para votar (Infobae, 2025)."
929,AR,VIU-500 / Identity Management System (IDMS),Cámara Nacional Electoral,En funcionamiento,Electoral,Gestión de la partipación,Reconocimiento facial,JRC-gestión-particip+texto,,fuera (biometría/seguridad electoral/fraude),"El sistema de autenticación biométrica ""VIU-500 e IDMS"", implementado por la Cámara Electoral de Argentina, tiene como objetivo validar la identidad de los votantes en el momento del sufragio para ""mitigar el fraude de suplantación"" (Smartmatic, 2017). Para lograr este objetivo, el sistema de reconocimiento biométrico captura la huella dactilar del votante mediante el dispositivo VIU-500 y la procesa mediante algoritmos de visión artificial comparándola con ""las que estaban almacenadas en el sistema"" a través del Sistema de Gestión de Identidad (IDMS) (Smartmatic, 2017), el cual fue ""sincronizado con la base nacional de datos de identidad de Argentina"" (Smartmatic, 2017), para generar una confirmación de identidad que permite a los operadores electorales ""validar la identidad de los electores antes de que ejercieran su voto"" (Smartmatic, 2017) y reportes de auditoría y participación en tiempo real (Smartmatic, 2017; Infobae, 2024)."
448,BO,LicitaBot/ Contrataciones públicas,Gobierno Municipal de La Paz,Descontinuado,Participación ciudadana e interacción con ciudadanos,Personalización del servicio,Chatbot,BID,,fuera (atención ciudadana / servicio),"LicitaBot “busca acercar a las y los ciudadanos a la información sobre contrataciones públicas que se encuentren abiertas en Bolivia. [...] [Este] asistente virtual […] revisa las contrataciones públicas y reemplaza el tedioso trabajo humano de navegar a través de ellas para reconocer cuáles están abiertas y cuales son relevantes para la persona” (ILDA & Centro Latam Digital, s. f.). Licitabot permite también, “activar seguimiento a determinadas convocatorias relacionadas con las palabras clave y recibir notificaciones cuando existan cambios en las convocatorias de interés para el usuario”, y “[e]l algoritmo de inteligencia artificial que utiliza la plataforma permite que el usuario reciba únicamente convocatorias en su área de interés” (ILDA & Centro Latam Digital, s. f.)."
24,BR,AI Service Recommendation and User Profiles for better Citizen Experience,Ministério da Economia,En funcionamiento,Participación ciudadana e interacción con ciudadanos,Integración del servicio,Sistema de recomendación,BID,,revisar (señal débil),"El Ministerio de Economía de Brasil implementó en la página web del gobierno (gov.br), que tiene en promedio “más de 200 millones de visitas mensuales”: i) un sistema que cuenta con IA para recomendar servicios a los usuarios “basándose en el historial de navegación del ciudadano”, y ii) la posibilidad de crear perfiles de usuarios “como forma de encontrar servicios basados en los recorridos de los ciudadanos” (OPSI, 2023). El objetivo de estas iniciativas es “mejorar la personalización y la relación del ciudadano con la Administración” (OPSI, 2023)."
686,BR,ELEITORAL LEGAL,Ministério Público Do Estado De Minas Gerais (MPMG),En funcionamiento,Participación ciudadana e interacción con ciudadanos,Procesos de análisis de la información,Reconocimiento de patrones,BID,,revisar (señal débil),"Este sistema fue diseñado con el objetivo de “detectar la propaganda electoral fuera de temporada en las redes sociales” (Clarim, 2023) “y se ha puesto a disposición del equipo de MPMG para su uso” (ACS, 2024)."
690,BR,Aplicativo 156,Prefeitura de Curitiba,En funcionamiento,Participación ciudadana e interacción con ciudadanos,Integración del servicio,Reconocimiento de sonidos,BID,,revisar (señal débil),"""La aplicación 156 del Ayuntamiento de Curitiba utiliza ahora robots capaces de reconocer voces e imágenes para ofrecer información y orientación a los ciudadanos de forma rápida, sencilla y personalizada. Si una persona toma una foto de un árbol y la envía a través de la aplicación, la inteligencia artificial reconoce la imagen y ofrece opciones para el servicio del Ayuntamiento que corresponde a la imagen."" (Prefeitura de Curitiba, 2025)"
752,BR,Análisis de las opiniones ciudadanas sobre los proyectos de ley,Câmara dos Deputados do Brasil,En funcionamiento,Participación ciudadana e interacción con ciudadanos,Procesos primarios internos,Clasificación,BID+texto,,REVISAR (núcleo de participación),"El sistema tiene como objetivo ""leer los comentarios de los ciudadanos sobre un proyecto de ley [...] para identificar y categorizar los principales argumentos a favor o en contra"" (Inter-Parliamentary Union, 2025e). Utiliza ""inteligencia artificial para el agrupamiento semántico y puede incluir análisis de sentimientos, segmentación y detección de posturas"" (Inter-Parliamentary Union, 2025e). Adicionalmente, el algoritmo se apoya en una ""base de datos que correlaciona los comentarios de los ciudadanos con los proyectos de ley asociados"", un ""proceso automatizado de indexación o vectorización de texto, que abarca la segmentación adecuada de oraciones, la tokenización y la representación semántica"", y una ""base de datos para almacenar los comentarios de los usuarios necesarios para mejorar el sistema de IA"" (Inter-Parliamentary Union, 2025e)."
840,BR,Aplicativo GOV.BR,Ministério da Gestão e Inovação em Serviços Públicos,En funcionamiento,Participación ciudadana e interacción con ciudadanos,Procesos de reconocimiento inteligente,Reconocimiento facial,BID,,fuera (biometría/seguridad electoral/fraude),"La aplicación Gov.br del Ministerio de Gestión e Innovación en los Servicios Públicos tiene el objetivo de que los “ciudadanos pueden acceder a servicios gubernamentales, presentar sus documentos digitalmente, firmarlos electrónicamente, gestionar el uso de sus datos personales y proporcionar un comprobante de vida digital”(gov.br, 2025).  El aplicativo permite acceder a más de “3300 servicios públicos ya digitalizados por el gobierno brasileño, como la Tarjeta de Tránsito Digital, la Tarjeta de Trabajo Digital y el INSS (Instituto Nacional de Seguridad Social)”(Serpro, 2021). Para operar todo el sistema utiliza “reconocimiento facial para “comparar la foto tomada con el dispositivo del ciudadano con las bases de datos biométricas faciales disponibles”(Governo Digital, 2025)."
847,BR,JU - Assistente virtual da Prefeitura de Jundiaí,Prefeitura de Jundiaí,En funcionamiento,Participación ciudadana e interacción con ciudadanos,Personalización del servicio,Chatbot,BID,,fuera (atención ciudadana / servicio),"“Ju” es la asistente virtual del Ayuntamiento de Jundiaí que tiene el objetivo de brindar información sobre “servicios […] para ayudar, agilizar y resolver cualquier duda o problema” (Prefeitura de Jundiaí, 2024).  El sistema opera con inteligencia artificial (IA) y es capaz de responder a preguntas abiertas relacionadas con: (i) impuesto predial (IPTU); (ii) Jundiaí Emprendedora y, (iii) otras preguntas sobre el Ayuntamiento (Prefeitura de Jundiaí, 2025)."
