pais,iso2,cat_inclusiva,puntaje_inclusiva,cat_estricta,puntaje_estricta,argumento_inclusiva,argumento_estricta,tipo,nivel_secundaria,equivalente_chile,documento,ubicacion,pagina_pdf,cita_verbatim,traduccion_es,url_fuente,archivo_local,verificacion
España,ES,5,100,5,100,"IA nominal en saberes básicos y criterios de evaluación de RD 217/2022 (ESO) y RD 243/2022 (Bachillerato), normas vinculantes vigentes.","Se mantiene en 5: la IA está en «Tecnología y Digitalización» (ESO, materia obligatoria de oferta, cuasi-universal); no es subtema de electiva.",IA,ESO (1.º–4.º) + Bachillerato (1.º–2.º),7º básico – 4º medio,RD 217/2022 (ESO) — Anexo II «Tecnología y Digitalización»,"RD 217/2022 (ESO) — Anexo II — «Tecnología y Digitalización» — Saberes básicos · C. Pensamiento computacional, programación y robótica",178,"Aplicaciones informáticas sencillas, para ordenador y dispositivos móviles, e introducción a la inteligencia artificial.",,https://www.boe.es/buscar/pdf/2022/BOE-A-2022-4975-consolidado.pdf,fuentes/ES/A1_RD217-2022_BOE-A-2022-4975_consolidado.pdf,verbatim_ok
España,ES,5,100,5,100,"IA nominal en saberes básicos y criterios de evaluación de RD 217/2022 (ESO) y RD 243/2022 (Bachillerato), normas vinculantes vigentes.","Se mantiene en 5: la IA está en «Tecnología y Digitalización» (ESO, materia obligatoria de oferta, cuasi-universal); no es subtema de electiva.",IA,ESO (1.º–4.º) + Bachillerato (1.º–2.º),7º básico – 4º medio,RD 217/2022 (ESO) — Anexo II «Tecnología y Digitalización»,RD 217/2022 (ESO) — Anexo II — «Tecnología y Digitalización» — Criterios de evaluación · Competencia específica 5,177,"5.2 Programar aplicaciones sencillas para distintos dispositivos (ordenadores, dispositivos móviles y otros) empleando los elementos de programación de manera apropiada y aplicando herramientas de edición, así como módulos de inteligencia artificial que añadan funcionalidades a la solución.",,https://www.boe.es/buscar/pdf/2022/BOE-A-2022-4975-consolidado.pdf,fuentes/ES/A1_RD217-2022_BOE-A-2022-4975_consolidado.pdf,verbatim_ok
España,ES,5,100,5,100,"IA nominal en saberes básicos y criterios de evaluación de RD 217/2022 (ESO) y RD 243/2022 (Bachillerato), normas vinculantes vigentes.","Se mantiene en 5: la IA está en «Tecnología y Digitalización» (ESO, materia obligatoria de oferta, cuasi-universal); no es subtema de electiva.",IA,ESO (1.º–4.º) + Bachillerato (1.º–2.º),7º básico – 4º medio,RD 243/2022 (Bachillerato) — Anexo II «Tecnología e Ingeniería»,RD 243/2022 (Bachillerato) — Anexo II — «Tecnología e Ingeniería II» — Saberes básicos · E. Sistemas informáticos emergentes,318,"Inteligencia artificial, big data, bases de datos distribuidas y ciberseguridad.",,https://www.boe.es/buscar/pdf/2022/BOE-A-2022-5521-consolidado.pdf,fuentes/ES/A2_RD243-2022_BOE-A-2022-5521_consolidado.pdf,verbatim_ok
España,ES,5,100,5,100,"IA nominal en saberes básicos y criterios de evaluación de RD 217/2022 (ESO) y RD 243/2022 (Bachillerato), normas vinculantes vigentes.","Se mantiene en 5: la IA está en «Tecnología y Digitalización» (ESO, materia obligatoria de oferta, cuasi-universal); no es subtema de electiva.",IA,ESO (1.º–4.º) + Bachillerato (1.º–2.º),7º básico – 4º medio,RD 243/2022 (Bachillerato) — Anexo II «Tecnología e Ingeniería»,RD 243/2022 (Bachillerato) — Anexo II — «Tecnología e Ingeniería I» — Criterios de evaluación · Competencia específica 5,316,"5.1 Controlar el funcionamiento de sistemas tecnológicos y robóticos, utilizando lenguajes de programación informática y aplicando las posibilidades que ofrecen las tecnologías emergentes, tales como inteligencia artificial, internet de las cosas, big data",,https://www.boe.es/buscar/pdf/2022/BOE-A-2022-5521-consolidado.pdf,fuentes/ES/A2_RD243-2022_BOE-A-2022-5521_consolidado.pdf,verbatim_ok
Alemania,DE,5,100,5,100,IA nominal y vinculante en LehrplanPLUS Bayern (Gym 11.º) y KLP NRW Sek I (Klasse 5/6).,Se mantiene en 5: en Bayern la IA es un Lernbereich dedicado (≈16 h) = contenido sustantivo (caveat: obligatorio solo en parte de los Länder/vías).,IA,Sek I (Kl. 5–10) + Sek II (Kl. 11–12/13),5º básico – 4º medio,"LehrplanPLUS Bayern — Gymnasium Jhst. 11, Informatik (NTG)",LehrplanPLUS Bayern · Gymnasium · Jhst. 11 · Informatik (NTG) · Lernbereich 4,HTML (sin paginación),Künstliche Intelligenz (ca. 16 Std.),Inteligencia Artificial (aprox. 16 h lectivas),https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/11/informatik/ntg,fuentes/DE/A3_LehrplanPLUS_Bayern_Gym11_Informatik_ntg.html,verbatim_ok
Alemania,DE,5,100,5,100,IA nominal y vinculante en LehrplanPLUS Bayern (Gym 11.º) y KLP NRW Sek I (Klasse 5/6).,Se mantiene en 5: en Bayern la IA es un Lernbereich dedicado (≈16 h) = contenido sustantivo (caveat: obligatorio solo en parte de los Länder/vías).,IA,Sek I (Kl. 5–10) + Sek II (Kl. 11–12/13),5º básico – 4º medio,"LehrplanPLUS Bayern — Gymnasium Jhst. 11, Informatik (NTG)",LehrplanPLUS Bayern · Gymnasium · Jhst. 11 · Informatik (NTG) · Lernbereich 4 «Künstliche Intelligenz» · Kompetenzerwartungen,HTML (sin paginación),"diskutieren Ansätze zur Definition des Begriffs Künstliche Intelligenz (KI), beschreiben verschiedene Grundideen von Verfahren der KI (u. a. maschinelles Lernen) sowie ihre Anwendungsbereiche.","discuten enfoques para definir el concepto de Inteligencia Artificial (IA), describen distintas ideas básicas de procedimientos de IA (entre otros, aprendizaje automático) y sus campos de aplicación.",https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/11/informatik/ntg,fuentes/DE/A3_LehrplanPLUS_Bayern_Gym11_Informatik_ntg.html,verbatim_ok
Alemania,DE,5,100,5,100,IA nominal y vinculante en LehrplanPLUS Bayern (Gym 11.º) y KLP NRW Sek I (Klasse 5/6).,Se mantiene en 5: en Bayern la IA es un Lernbereich dedicado (≈16 h) = contenido sustantivo (caveat: obligatorio solo en parte de los Länder/vías).,IA,Sek I (Kl. 5–10) + Sek II (Kl. 11–12/13),5º básico – 4º medio,"KLP NRW — Sek I, Klasse 5/6, Pflichtfach Informatik (2021)",KLP NRW · Sek I · Klasse 5/6 · Pflichtfach Informatik (Inkrafttreten 2021/22) · Inhaltsfeld,14,Automaten und künstliche Intelligenz,Autómatas e inteligencia artificial,https://lehrplannavigator.nrw.de/system/files/media/document/file/si_kl5u6_if_klp_2021_07_01.pdf,fuentes/DE/A4b_KLP_NRW_SekI_Kl5u6_Informatik_2021.pdf,verbatim_ok
Alemania,DE,5,100,5,100,IA nominal y vinculante en LehrplanPLUS Bayern (Gym 11.º) y KLP NRW Sek I (Klasse 5/6).,Se mantiene en 5: en Bayern la IA es un Lernbereich dedicado (≈16 h) = contenido sustantivo (caveat: obligatorio solo en parte de los Länder/vías).,IA,Sek I (Kl. 5–10) + Sek II (Kl. 11–12/13),5º básico – 4º medio,"KLP NRW — Sek I, Klasse 5/6, Pflichtfach Informatik (2021)",KLP NRW · Sek I · Klasse 5/6 · Pflichtfach Informatik · Inhaltsfeld «Automaten und künstliche Intelligenz» · Inhaltliche Schwerpunkte,18,Maschinelles Lernen mit Entscheidungsbäumen,Aprendizaje automático con árboles de decisión,https://lehrplannavigator.nrw.de/system/files/media/document/file/si_kl5u6_if_klp_2021_07_01.pdf,fuentes/DE/A4b_KLP_NRW_SekI_Kl5u6_Informatik_2021.pdf,verbatim_ok
Alemania,DE,5,100,5,100,IA nominal y vinculante en LehrplanPLUS Bayern (Gym 11.º) y KLP NRW Sek I (Klasse 5/6).,Se mantiene en 5: en Bayern la IA es un Lernbereich dedicado (≈16 h) = contenido sustantivo (caveat: obligatorio solo en parte de los Länder/vías).,IA,Sek I (Kl. 5–10) + Sek II (Kl. 11–12/13),5º básico – 4º medio,"KLP NRW — Sek I, Klasse 5/6, Pflichtfach Informatik (2021)",KLP NRW · Sek I · Klasse 5/6 · Pflichtfach Informatik · Inhaltsfeld «Automaten und künstliche Intelligenz» · Inhaltliche Schwerpunkte,18,Maschinelles Lernen mit neuronalen Netzen,Aprendizaje automático con redes neuronales,https://lehrplannavigator.nrw.de/system/files/media/document/file/si_kl5u6_if_klp_2021_07_01.pdf,fuentes/DE/A4b_KLP_NRW_SekI_Kl5u6_Informatik_2021.pdf,verbatim_ok
Estonia,EE,5,100,4,75,Regla inclusiva: IA es contenido del currículo nacional en la asignatura electiva Informaatika.,Baja a 4: la IA es un subtema (1 de 9 õpitulemused) en una asignatura ELECTIVA; no sustantiva ni de cursado universal.,IA,Põhikool 7.º–9.º + Gümnaasium 10.º–12.º,8º básico – 4º medio,"Põhikooli riiklik õppekava — Lisa 10, Valikõppeaine «Informaatika» (electiva)",Põhikooli riiklik õppekava · Lisa 10 · Valikõppeaine «Informaatika» · III kooliaste · Teema «Infoühiskonna tehnoloogiad» · Õpitulemus 6,9,"kirjeldab tehisintellekti ja asjade interneti rakendusviise majanduses, avalikus sektoris, hariduses ja sellega kaasnevaid võimalikke ohtusid","describe la inteligencia artificial y los usos del internet de las cosas en la economía, el sector público y la educación, y los posibles riesgos asociados",https://www.riigiteataja.ee/aktilisa/1080/3202/3005/18m_pohi_lisa10.pdf,fuentes/EE/A5_PROK_Lisa10_Informaatika.pdf,verbatim_ok
