entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,generation_share_pct,generation_kwh_per_capita,generation_yoy_change_twh,generation_yoy_change_pct,generation_share_yoy_change_pct_points,generation_yoy_change_kwh_per_capita
"Estonia","EST",false,"2025","Bioenergy",false,1.33,21.49,989.41,-0.01,-0.75,0.08,-7.44
"Estonia","EST",false,"2025","Coal",false,0,0,0,0,,0,0
"Estonia","EST",false,"2025","Gas",false,0.08,1.29,59.51,0,0,0.01,0
"Estonia","EST",false,"2025","Hydro",false,0.03,0.48,22.32,0,0,0,0
"Estonia","EST",false,"2025","Nuclear",false,0,0,0,0,,0,0
"Estonia","EST",false,"2025","Other fossil",false,2.38,38.45,1770.53,-0.31,-11.52,-4.52,-230.61
"Estonia","EST",false,"2025","Other renewables",false,0,0,0,0,,0,0
"Estonia","EST",false,"2025","Solar",false,1.22,19.71,907.58,0.15,14.02,2.62,111.59
"Estonia","EST",false,"2025","Total generation",true,6.19,100,4604.86,-0.07,-1.12,0,-52.07
"Estonia","EST",false,"2025","Wind",false,1.15,18.58,855.51,0.1,9.52,1.81,74.39
"Singapore","SGP",false,"2025","Bioenergy",false,1.66,2.76,282.76,0,0,-0.02,0
"Singapore","SGP",false,"2025","Coal",false,0.57,0.95,97.09,0,0,-0.01,0
"Singapore","SGP",false,"2025","Gas",false,54.81,91.12,9336.12,-0.12,-0.22,-1.03,-20.44
"Singapore","SGP",false,"2025","Other fossil",false,1.47,2.44,250.39,0.3,25.64,0.48,51.1
"Singapore","SGP",false,"2025","Solar",false,1.64,2.73,279.35,0.36,28.13,0.58,61.32
"Singapore","SGP",false,"2025","Total generation",true,60.15,100,10245.71,0.54,0.91,0,91.98
"Germany","DEU",false,"2025","Bioenergy",false,50.53,10.1,601.01,-0.55,-1.08,-0.2,-6.54
"Germany","DEU",false,"2025","Coal",false,103.15,20.61,1226.88,-3.18,-2.99,-0.83,-37.82
"Germany","DEU",false,"2025","Gas",false,82.67,16.52,983.29,4.26,5.43,0.71,50.67
"Germany","DEU",false,"2025","Hydro",false,19.56,3.91,232.65,-4.27,-17.92,-0.89,-50.79
"Germany","DEU",false,"2025","Nuclear",false,0,0,0,0,,0,0
"Germany","DEU",false,"2025","Other fossil",false,18.91,3.78,224.92,-1.48,-7.26,-0.33,-17.6
"Germany","DEU",false,"2025","Other renewables",false,0,0,0,-0.22,-100,-0.04,-2.62
"Germany","DEU",false,"2025","Solar",false,89.62,17.91,1065.95,15.49,20.9,2.96,184.24
"Germany","DEU",false,"2025","Total generation",true,500.47,100,5952.66,4.48,0.9,0,53.29
"Germany","DEU",false,"2025","Wind",false,136.03,27.18,1617.96,-5.57,-3.93,-1.37,-66.25
"Spain","ESP",false,"2025","Bioenergy",false,6.41,2.23,133.85,0.24,3.89,0.03,5.01
"Spain","ESP",false,"2025","Coal",false,0.92,0.32,19.21,-1.66,-64.34,-0.6,-34.66
"Spain","ESP",false,"2025","Gas",false,62.06,21.55,1295.89,9.72,18.57,2.92,202.97
"Spain","ESP",false,"2025","Hydro",false,32.77,11.38,684.28,-1.64,-4.77,-0.87,-34.25
"Spain","ESP",false,"2025","Nuclear",false,54.1,18.79,1129.67,-0.43,-0.79,-0.62,-8.98
"Spain","ESP",false,"2025","Other fossil",false,10.03,3.48,209.44,-0.38,-3.65,-0.23,-7.93
"Spain","ESP",false,"2025","Other renewables",false,0,0,0,-0.01,-100,0,-0.21
"Spain","ESP",false,"2025","Solar",false,62.92,21.85,1313.85,4.63,7.94,1.1,96.68
"Spain","ESP",false,"2025","Total generation",true,287.97,100,6013.16,7.03,2.5,0,146.79
"Spain","ESP",false,"2025","Wind",false,58.76,20.4,1226.98,-3.44,-5.53,-1.74,-71.83
"Portugal","PRT",false,"2025","Bioenergy",false,3.43,6.71,329.43,-0.32,-8.53,-1.22,-30.73
"Portugal","PRT",false,"2025","Coal",false,0,0,0,0,,0,0
"Portugal","PRT",false,"2025","Gas",false,8.42,16.46,808.7,2.79,49.56,4.55,267.96
"Portugal","PRT",false,"2025","Hydro",false,15.2,29.72,1459.88,0.31,2.08,-1.78,29.77
"Portugal","PRT",false,"2025","Nuclear",false,0,0,0,0,,0,0
"Portugal","PRT",false,"2025","Other fossil",false,1.35,2.64,129.66,-0.02,-1.46,-0.26,-1.92
"Portugal","PRT",false,"2025","Other renewables",false,0.2,0.39,19.21,0,0,-0.03,0
"Portugal","PRT",false,"2025","Solar",false,8.86,17.32,850.95,1.77,24.96,2.32,170
"Portugal","PRT",false,"2025","Total generation",true,51.14,100,4911.72,3.87,8.19,0,371.69
"Portugal","PRT",false,"2025","Wind",false,13.68,26.75,1313.89,-0.66,-4.6,-3.59,-63.39
