pais,universidad,qs_rank_2026,programa_doctorado,facultad_escuela,clasificacion,url_programa,fuente_origen,para_revision
Alemania,Bielefeld University,1001-1200,Promotion via CITEC Graduate School,Faculty of Technology - CITEC (Cognitive Interaction Technology),CUMPLE,https://www.uni-bielefeld.de/zwe/citec/environment/graduate-school/,clasificacion (programa base),
Alemania,FAU Erlangen-Nurnberg,232,Promotion CS / AI in Biomedical Engineering,Department of Computer Science / Department AI in Biomedical Eng (AIBE) / MaD Lab,CUMPLE,https://www.aibe.tf.fau.eu/,clasificacion (programa base),
Alemania,Free University of Berlin (FU Berlin),88,Promotion via Dahlem Research School (grupos ML),Department of Mathematics and Computer Science / Dahlem Research School,PARCIAL,https://www.drs.fu-berlin.de/en/,clasificacion (programa base),
Alemania,Goethe University Frankfurt,316,Promotion (Dr. phil. nat.) CS (ML & Computational Neuroscience),Faculty of Computer Science and Mathematics (FB12) Institute of Computer Science,PARCIAL,https://www.uni-frankfurt.de/106100859/Welcome_at_the_Institute_of_Computer_Science__FB_12,clasificacion (programa base),
Alemania,Heidelberg University,80,Promotion Informatica-Matematicas (ML; image processing),Faculty of Mathematics and Computer Science (HCI; CZS Center for Model-Based AI),PARCIAL,https://www.uni-heidelberg.de/en/newsroom/new-centre-for-model-based-artificial-intelligence,clasificacion (programa base),
Alemania,Heinrich Heine University Dusseldorf (HHU),851-900,Promotion (Dr. rer. nat.) CS,Faculty of Mathematics and Natural Sciences - Computer Science / HeiCAD,PARCIAL,https://www.heicad.hhu.de/en,clasificacion (programa base),
Alemania,Humboldt University of Berlin (HU Berlin),130,Promotion Informatica (ML y NLP),Department of Computer Science (Machine Learning Group; afil. BIFOLD),PARCIAL,https://www.informatik.hu-berlin.de/en/forschung-en/gebiete/ml-en/ml,clasificacion (programa base),
Alemania,Johannes Gutenberg University Mainz (JGU),452,Promotion (Dr. rer. nat.) CS,Faculty 08 - Institute of Computer Science / Emergent AI Center,PARCIAL,https://emergent-ai.uni-mainz.de/,clasificacion (programa base),
Alemania,Justus Liebig University Giessen (JLU),496,Promotion (Dr. rer. nat.) CS,Faculty 07 - Department of Mathematics and Computer Science (Data Mining & ML),PARCIAL,https://www.uni-giessen.de/en/faculties/f07,clasificacion (programa base),
Alemania,Karlsruhe Institute of Technology (KIT),98,Promotion via KCDS (training program ML-data),KIT Department of Informatics / KCDS Graduate School / KASTEL,CUMPLE,https://www.kcds.kit.edu/,clasificacion (programa base),
Alemania,Leibniz University Hannover,433,Promotion CS (L3S),Faculty of Electrical Eng and Computer Science - L3S Research Center,PARCIAL,https://www.l3s.de/,clasificacion (programa base),
Alemania,Leipzig University,535,ScaDS.AI Graduate School (Promotion CS),Faculty of Mathematics and Computer Science / ScaDS.AI Dresden-Leipzig,CUMPLE,https://scads.ai/education/graduate-school/,clasificacion (programa base),
Alemania,Ludwig Maximilian University of Munich (LMU Munchen),58,Promotion Informatica-Estadistica-ML (MCML PhD; GraduateCenter),Institut fur Informatik / LMU GraduateCenter / MCML,CUMPLE,https://www.portal.graduatecenter.lmu.de/ocgc/mcml,clasificacion (programa base),
Alemania,Martin Luther University Halle-Wittenberg (MLU),751-760,Promotion (Dr. rer. nat.) CS,Faculty of Natural Sciences III - Institute of Computer Science,PARCIAL,https://www.informatik.uni-halle.de/,clasificacion (programa base),
Alemania,Paderborn University,601-650,Promotion via PACE (Informatica),Institute of Computer Science (SFB 901 On-The-Fly Computing) / PACE,PARCIAL,https://cs.uni-paderborn.de/en/,clasificacion (programa base),
Alemania,Philipps University Marburg,771-780,Promotion (Dr. rer. nat.) CS (campo AI & Data Analytics),Department of Mathematics and Computer Science (FB12),PARCIAL,https://www.uni-marburg.de/en/fb12/research/researchfields/ai-data-analytics,clasificacion (programa base),
Alemania,RPTU Kaiserslautern-Landau,1201-1400,Graduate School of Computer Science (Promotion),Department of Computer Science / DFKI - Graduate School of Computer Science,CUMPLE,https://phd.cs.rptu.de/,clasificacion (programa base),
Alemania,RWTH Aachen University,90,Promotion Informatica (AIM; Machine Learning and Reasoning i6),Fachgruppe Informatik / RWTH Center for AI / RWTH Doctoral Academy,PARCIAL,https://www.ai.rwth-aachen.de/,clasificacion (programa base),
Alemania,Ruhr University Bochum (RUB),395,Promotion (Dr.-Ing. / Dr. rer. nat.) CS,Faculty of Computer Science - ML-AI / Horst Gortz Institute,PARCIAL,https://informatik.rub.de/en/phd/,clasificacion (programa base),
Alemania,Saarland University (Saarbrucken),635,Saarbrucken Graduate School of Computer Science (Promotion),Saarbrucken Graduate School of Computer Science (CISPA; DFKI; MPI),CUMPLE,https://www.graduateschool-computerscience.de/,clasificacion (programa base),
Alemania,TU Braunschweig,711-720,Promotion (Dr.-Ing. / Dr. rer. nat.) CS,Department of Computer Science - Institute of Artificial Intelligence,PARCIAL,https://www.tu-braunschweig.de/en/iai,clasificacion (programa base),
Alemania,TU Darmstadt,253,Konrad-Zuse-Schule ELIZA / Promotion (AIML),Department of Computer Science / hessian.AI / ELLIS Unit,CUMPLE,https://www.daad.de/en/the-daad/zuse-schools/zuse-school-eliza/,clasificacion (programa base),
Alemania,TU Dortmund,673,Promotion (Dr. rer. nat.) CS (Lamarr),Department of Computer Science - Lamarr Institute for ML and AI,CUMPLE,https://lamarr.cs.tu-dortmund.de/,clasificacion (programa base),
Alemania,TU Dresden,218,ScaDS.AI Graduate School (Promotion CS),Faculty of Computer Science / ScaDS.AI Dresden-Leipzig / CeTI,CUMPLE,https://scads.ai/education/graduate-school/,clasificacion (programa base),
Alemania,TU Dresden,218,ScaDS.AI Graduate School (ademas del Promotion CS),ScaDS.AI Dresden-Leipzig,CUMPLE,https://scads.ai/education/graduate-school/,EXTRA documentado,programa adicional
Alemania,Technical University of Berlin (TU Berlin),106,Promotion via BIFOLD Graduate School (ML Group Muller),Faculty IV Electrical Engineering and Computer Science / BIFOLD,CUMPLE,https://www.tu.berlin/en/eecs/research/academic-career/doctorate,clasificacion (programa base),
Alemania,Technical University of Munich (TUM),22,Promotion Informatica-ML (MCML PhD; TUM Graduate School),TUM School of Computation Information and Technology (CIT) / MCML / MDSI,CUMPLE,https://mcml.ai/,clasificacion (programa base),
Alemania,University of Augsburg,1001-1200,Promotion CS (multimodal/affective computing),Faculty of Applied Computer Science - ISSE (Human-Centered AI),PARCIAL,https://www.uni-augsburg.de/en/fakultaet/fai/isse/,clasificacion (programa base),
Alemania,University of Bayreuth,448,Promotion (Dr. rer. nat.) CS (iniciativas de IA recientes),Faculty of Mathematics Physics and Computer Science,PARCIAL,https://www.ai.uni-bayreuth.de/en/,clasificacion (programa base),
Alemania,University of Bonn,207,Promotion CS vinculada a Lamarr,Institute of Computer Science / Lamarr Institute for ML and AI,CUMPLE,https://lamarr-institute.org/,clasificacion (programa base),
Alemania,University of Bremen,530,Promotion CS (AICOR Institute for AI),Faculty 3 Mathematics-Computer Science - AICOR Institute for AI (cartesium),CUMPLE,https://ai.uni-bremen.de/,clasificacion (programa base),
Alemania,University of Cologne,272,Promotion via CDS / HDS-LEE (Scientific ML),Department of Mathematics-Computer Science / Center for Data and Simulation Science (CDS),PARCIAL,https://cds.uni-koeln.de/en/labs/sciml,clasificacion (programa base),
Alemania,University of Duisburg-Essen (UDE),801-850,Promotion CS / Applied Cognitive Science,Faculty of Engineering - Computer Science and Applied Cognitive Science,PARCIAL,https://www.uni-due.de/cs/en/,clasificacion (programa base),
Alemania,University of Freiburg,201,Promotion CS / ELLIS PhD,Faculty of Engineering - Department of Computer Science (Machine Learning Lab; ELLIS),CUMPLE,https://ml.informatik.uni-freiburg.de/,clasificacion (programa base),
Alemania,University of Gottingen,243,PhD Programme in Computer Science (graduate school GAUSS),Institute of Computer Science / Campus Institute Data Science (CIDAS),PARCIAL,https://cidas.uni-goettingen.de/,clasificacion (programa base),
