"pais","cod","universidad","qs_rank_2026","confianza_rank","fuente_rank"
"Estonia","EE","University of Tartu","362","Alta","ut.ee/en/rankings-surveys; yocket"
"Estonia","EE","Tallinn University of Technology (TalTech)","635","Alta (validado)","yocket; topuniversities"
"Estonia","EE","Tallinn University","1001-1200","Media (validado)","universityguru; topuniversities"
"Singapur","SG","National University of Singapore (NUS)","8","Alta","news.nus.edu.sg"
"Singapur","SG","Nanyang Technological University (NTU)","12","Alta","ntu.edu.sg"
"Singapur","SG","Singapore Management University (SMU)","511","Alta","theindependent.sg; academicjobs.com"
"Singapur","SG","Singapore University of Technology and Design (SUTD)","519","Alta","theindependent.sg; academicjobs.com"
"Portugal","PT","Universidade de Lisboa","230","Alta","clsbe.lisboa.ucp.pt; up.pt"
"Portugal","PT","Universidade do Porto","237","Alta","up.pt; clsbe.lisboa.ucp.pt"
"Portugal","PT","Universidade NOVA de Lisboa","327","Alta","clsbe.lisboa.ucp.pt"
"Portugal","PT","Universidade de Coimbra","347","Alta","topuniversities; universityguru"
"Portugal","PT","Universidade de Aveiro","419","Alta","topuniversities; universityguru"
"Portugal","PT","Universidade do Minho","566","Alta","topuniversities; edurank"
"Portugal","PT","ISCTE - Instituto Universitario de Lisboa","711-720","Media","clsbe.lisboa.ucp.pt"
"Portugal","PT","Universidade Catolica Portuguesa","781-790","Media","clsbe.lisboa.ucp.pt"
"Portugal","PT","Universidade do Algarve","1001-1200","Media","clsbe.lisboa.ucp.pt; topuniversities"
"España","ES","Universitat de Barcelona (UB)","160","Alta","topuniversities; prensa QS"
"España","ES","Universitat Autonoma de Barcelona (UAB)","188","Aprox","verificar en QS ?countries=es"
"España","ES","Universidad Autonoma de Madrid (UAM)","206","Alta","uam.es ranking-qs-2026"
"España","ES","Universidad Complutense de Madrid (UCM)","250","Aprox","verificar en QS ?countries=es"
"España","ES","Universitat Politecnica de Catalunya (UPC)","260","Aprox","verificar en QS ?countries=es"
"España","ES","Universitat Pompeu Fabra (UPF)","290","Aprox","verificar en QS ?countries=es"
"España","ES","Universitat Politecnica de Valencia (UPV)","300","Aprox","verificar en QS ?countries=es"
"España","ES","Universitat de Valencia (UV)","340","Aprox","verificar en QS ?countries=es"
"España","ES","Universidad Politecnica de Madrid (UPM)","360","Aprox","verificar en QS ?countries=es"
"España","ES","Universidad de Navarra (UNAV)","365","Aprox","verificar en QS ?countries=es"
"España","ES","Universidad de Granada (UGR)","400","Aprox","verificar en QS ?countries=es"
"España","ES","Universidad del Pais Vasco (UPV/EHU)","400","Aprox","verificar en QS ?countries=es"
"España","ES","Universidad de Zaragoza (UNIZAR)","430","Aprox","verificar en QS ?countries=es"
"España","ES","Universidad de Sevilla (US)","500","Aprox","verificar en QS ?countries=es"
"España","ES","Universidad de Santiago de Compostela (USC)","520","Aprox","verificar en QS ?countries=es"
"España","ES","Universidade da Coruna (UDC)","560","Aprox","verificar en QS ?countries=es"
"España","ES","Universidad de Salamanca (USAL)","580","Aprox","verificar en QS ?countries=es"
"España","ES","Universitat Rovira i Virgili (URV)","600","Aprox","verificar en QS ?countries=es"
"España","ES","Universidad de Oviedo (UNIOVI)","620","Aprox","verificar en QS ?countries=es"
"España","ES","Universidad de Malaga (UMA)","650","Aprox","verificar en QS ?countries=es"
"España","ES","Universidad de Alcala (UAH)","680","Aprox","verificar en QS ?countries=es"
"España","ES","Universidad de Murcia (UM)","700","Aprox","verificar en QS ?countries=es"
"España","ES","Universidad de Castilla-La Mancha (UCLM)","720","Aprox","verificar en QS ?countries=es"
"España","ES","Universidad de Alicante (UA)","740","Aprox","verificar en QS ?countries=es"
"España","ES","Universidade de Vigo (UVigo)","760","Aprox","verificar en QS ?countries=es"
"España","ES","Universidad de Cordoba (UCO)","800","Aprox","verificar en QS ?countries=es"
"España","ES","Universitat de les Illes Balears (UIB)","820","Aprox","verificar en QS ?countries=es"
"España","ES","Universidad Rey Juan Carlos (URJC)","850","Aprox","verificar en QS ?countries=es"
"España","ES","Universidad de La Laguna (ULL)","900","Aprox","verificar en QS ?countries=es"
"España","ES","Universidad de Las Palmas de Gran Canaria (ULPGC)","950","Aprox","verificar en QS ?countries=es"
"España","ES","Universitat Ramon Llull (URL)","970","Aprox","verificar en QS ?countries=es"
"España","ES","Universidad Pontificia Comillas (ICAI)","980","Aprox","verificar en QS ?countries=es"
"España","ES","Universidad de Deusto","990","Aprox","verificar en QS ?countries=es"
